               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078865,            0.046917,            0.025994,             0.25987,             0.30296,             0.20103,            0.070899,            0.059952,            0.012786,            0.014698,            0.070031,           0.0033299,           0.0033299
                   1,            0.062249,            0.041781,            0.013772,             0.38232,             0.33755,             0.29043,             0.11033,            0.053384,            0.012415,            0.011853,            0.040018,             0.00665,             0.00665
                   2,            0.059795,            0.041713,            0.012568,             0.35754,             0.33265,             0.26412,             0.10014,            0.054901,            0.012933,            0.013957,           0.0099917,           0.0099569,           0.0099569
                   3,            0.057885,            0.041386,             0.01161,             0.40198,             0.41009,             0.35833,             0.14215,            0.051302,            0.012172,           0.0095281,           0.0099406,           0.0099406,           0.0099406
                   4,            0.055452,            0.040604,           0.0099933,             0.43158,             0.41312,             0.37681,             0.15404,              0.0506,             0.01218,            0.010346,           0.0099406,           0.0099406,           0.0099406
                   5,            0.053486,            0.040132,           0.0091832,             0.45057,             0.42671,             0.39494,             0.15948,            0.049381,            0.011959,           0.0089364,           0.0099208,           0.0099208,           0.0099208
                   6,            0.052645,            0.039196,            0.008655,             0.43279,             0.44584,             0.39428,              0.1622,            0.049169,            0.011629,           0.0092793,            0.009901,            0.009901,            0.009901
                   7,            0.051319,            0.038626,           0.0080241,              0.4594,             0.45373,             0.42856,              0.1795,            0.048144,            0.011498,           0.0086781,           0.0098812,           0.0098812,           0.0098812
                   8,            0.050295,            0.038361,           0.0075554,             0.46854,             0.46717,             0.43746,             0.18458,            0.047939,            0.011362,           0.0086223,           0.0098614,           0.0098614,           0.0098614
                   9,             0.04995,            0.037693,           0.0073244,             0.47603,             0.47555,             0.44733,             0.19196,            0.047441,            0.011278,           0.0084936,           0.0098416,           0.0098416,           0.0098416
                  10,             0.04915,            0.037572,           0.0068993,             0.46104,             0.48202,             0.44478,             0.19278,            0.047824,            0.011265,           0.0085085,           0.0098218,           0.0098218,           0.0098218
                  11,            0.048244,            0.037298,           0.0066732,             0.45324,             0.49269,              0.4405,             0.19079,            0.047552,            0.011379,           0.0085298,            0.009802,            0.009802,            0.009802
                  12,            0.047779,            0.037131,           0.0065333,             0.47013,             0.50068,             0.45802,             0.19865,            0.047006,            0.011361,           0.0082572,           0.0097822,           0.0097822,           0.0097822
                  13,            0.047312,             0.03659,           0.0062247,             0.48042,             0.51079,             0.46743,              0.2045,            0.047211,            0.011297,             0.00846,           0.0097624,           0.0097624,           0.0097624
                  14,            0.046766,            0.036637,           0.0060028,             0.47402,             0.50802,             0.46343,             0.20365,            0.046773,            0.011293,           0.0081398,           0.0097426,           0.0097426,           0.0097426
                  15,             0.04643,            0.036117,           0.0059046,             0.47152,             0.51602,             0.46749,             0.20481,            0.046686,            0.011375,           0.0082674,           0.0097228,           0.0097228,           0.0097228
                  16,            0.046032,            0.035629,           0.0057351,             0.47413,             0.53343,             0.47146,             0.20719,            0.046513,            0.011284,           0.0084009,            0.009703,            0.009703,            0.009703
                  17,            0.045574,            0.035751,           0.0055966,             0.48342,             0.52836,              0.4775,             0.21198,            0.046674,            0.011205,            0.008596,           0.0096832,           0.0096832,           0.0096832
                  18,            0.044956,             0.03542,           0.0054241,             0.49421,             0.52564,             0.47562,             0.21063,            0.046467,             0.01124,           0.0081806,           0.0096634,           0.0096634,           0.0096634
                  19,            0.044766,            0.035333,           0.0053021,               0.503,             0.51289,             0.48355,             0.21325,            0.046746,            0.011192,            0.008532,           0.0096436,           0.0096436,           0.0096436
                  20,            0.044408,            0.035002,           0.0053083,             0.49318,             0.52702,             0.48055,             0.21208,            0.046574,            0.011235,           0.0085465,           0.0096238,           0.0096238,           0.0096238
                  21,            0.044104,            0.034495,           0.0052105,             0.48775,             0.52655,             0.48027,             0.21229,            0.046461,            0.011272,           0.0088701,            0.009604,            0.009604,            0.009604
                  22,            0.043844,            0.034399,           0.0051255,             0.48682,             0.53365,             0.48311,             0.21434,            0.046502,            0.011269,           0.0089279,           0.0095842,           0.0095842,           0.0095842
                  23,            0.043889,            0.034253,           0.0050767,             0.48027,             0.54551,             0.48389,             0.21638,            0.046532,            0.011284,           0.0090184,           0.0095644,           0.0095644,           0.0095644
                  24,            0.043328,            0.033943,           0.0048842,             0.49156,             0.54318,             0.48858,             0.21676,            0.046424,            0.011278,           0.0087273,           0.0095446,           0.0095446,           0.0095446
                  25,            0.043333,            0.034227,           0.0049471,              0.4864,              0.5431,             0.48645,             0.21727,            0.046327,            0.011272,           0.0088309,           0.0095248,           0.0095248,           0.0095248
                  26,            0.042722,            0.033823,           0.0048095,             0.48904,             0.54242,             0.48871,              0.2177,            0.046339,            0.011271,            0.008831,            0.009505,            0.009505,            0.009505
                  27,            0.042516,            0.033808,           0.0047507,              0.4934,             0.54109,             0.48807,             0.21837,            0.046387,            0.011296,           0.0088433,           0.0094852,           0.0094852,           0.0094852
                  28,            0.042281,            0.033959,           0.0046484,             0.49733,             0.54204,             0.48947,             0.21807,            0.046356,             0.01129,           0.0088742,           0.0094654,           0.0094654,           0.0094654
                  29,             0.04217,            0.033371,           0.0045869,              0.4977,             0.54294,             0.48974,             0.21889,            0.046344,            0.011299,           0.0088373,           0.0094456,           0.0094456,           0.0094456
                  30,            0.041895,            0.033409,           0.0045669,             0.48776,             0.54648,             0.48937,             0.21969,            0.046353,            0.011279,           0.0088917,           0.0094258,           0.0094258,           0.0094258
                  31,             0.04183,            0.033089,           0.0044906,             0.49557,             0.54433,             0.49231,             0.22053,            0.046292,            0.011288,           0.0089354,            0.009406,            0.009406,            0.009406
                  32,            0.041515,            0.033032,           0.0044679,             0.49491,             0.54818,             0.49304,             0.22086,            0.046304,             0.01131,           0.0089133,           0.0093862,           0.0093862,           0.0093862
                  33,             0.04123,            0.033071,           0.0043023,             0.49673,             0.54391,             0.49215,             0.22098,            0.046308,            0.011318,           0.0088817,           0.0093664,           0.0093664,           0.0093664
                  34,            0.041296,            0.032911,           0.0043923,             0.49851,             0.54165,             0.49302,             0.22133,            0.046304,            0.011322,           0.0088779,           0.0093466,           0.0093466,           0.0093466
                  35,            0.041291,            0.032843,           0.0044104,             0.49566,             0.54545,             0.49132,             0.22088,            0.046294,            0.011332,           0.0088985,           0.0093268,           0.0093268,           0.0093268
                  36,            0.041001,            0.032694,           0.0043266,             0.49847,             0.54479,             0.49377,             0.22117,            0.046261,            0.011338,           0.0089201,            0.009307,            0.009307,            0.009307
                  37,            0.040856,            0.032469,           0.0042861,             0.49634,             0.54582,             0.49362,             0.22209,            0.046252,            0.011341,           0.0089413,           0.0092872,           0.0092872,           0.0092872
                  38,            0.040656,            0.032349,            0.004261,             0.49878,             0.54381,              0.4934,             0.22157,            0.046242,            0.011345,           0.0089437,           0.0092674,           0.0092674,           0.0092674
                  39,            0.040759,            0.032247,           0.0043367,             0.49603,             0.54424,             0.49272,              0.2215,            0.046209,            0.011353,           0.0089701,           0.0092476,           0.0092476,           0.0092476
                  40,            0.040454,            0.032531,           0.0041481,             0.49471,             0.54364,             0.49445,             0.22195,            0.046204,            0.011353,           0.0089686,           0.0092278,           0.0092278,           0.0092278
                  41,            0.040195,            0.032537,           0.0041339,             0.49406,              0.5452,              0.4952,             0.22197,            0.046195,            0.011359,           0.0089644,            0.009208,            0.009208,            0.009208
                  42,            0.040214,            0.032168,           0.0042024,             0.49308,             0.54706,             0.49489,             0.22152,            0.046195,            0.011359,           0.0089616,           0.0091882,           0.0091882,           0.0091882
                  43,            0.040243,            0.032046,           0.0042379,             0.49127,             0.55172,             0.49446,             0.22204,            0.046204,            0.011357,           0.0089588,           0.0091684,           0.0091684,           0.0091684
                  44,            0.040158,            0.032209,           0.0041706,             0.49229,             0.54854,             0.49366,             0.22212,              0.0462,             0.01136,           0.0089582,           0.0091486,           0.0091486,           0.0091486
                  45,            0.039739,             0.03206,           0.0040732,             0.49477,             0.54781,             0.49283,             0.22246,            0.046192,            0.011361,           0.0089687,           0.0091288,           0.0091288,           0.0091288
                  46,            0.039525,            0.031869,           0.0040125,             0.49793,             0.54387,             0.49427,             0.22291,             0.04619,            0.011363,           0.0089668,            0.009109,            0.009109,            0.009109
                  47,            0.039494,            0.031753,           0.0040284,             0.49656,             0.54695,             0.49404,             0.22333,            0.046198,            0.011371,           0.0089441,           0.0090892,           0.0090892,           0.0090892
                  48,            0.039358,            0.031818,           0.0039065,              0.4981,             0.54472,             0.49269,             0.22322,            0.046186,            0.011375,           0.0089447,           0.0090694,           0.0090694,           0.0090694
                  49,            0.039441,            0.031796,           0.0040058,             0.49987,             0.54369,             0.49397,             0.22387,             0.04618,            0.011378,           0.0089568,           0.0090496,           0.0090496,           0.0090496
                  50,            0.039225,            0.031712,           0.0039685,              0.5016,             0.54539,             0.49449,             0.22378,            0.046182,            0.011379,           0.0089634,           0.0090298,           0.0090298,           0.0090298
                  51,            0.039026,            0.031552,           0.0039243,             0.50493,             0.54696,             0.49485,             0.22382,            0.046193,             0.01138,           0.0089592,             0.00901,             0.00901,             0.00901
                  52,            0.038975,            0.031471,           0.0039519,             0.51318,             0.53945,             0.49544,             0.22399,            0.046194,             0.01138,           0.0089434,           0.0089902,           0.0089902,           0.0089902
                  53,            0.039081,            0.031472,           0.0039648,             0.51102,             0.54362,              0.4954,             0.22409,            0.046213,            0.011381,           0.0089683,           0.0089704,           0.0089704,           0.0089704
                  54,            0.039052,            0.031641,           0.0039374,             0.50643,             0.54905,             0.49617,             0.22365,            0.046215,            0.011378,           0.0089966,           0.0089506,           0.0089506,           0.0089506
                  55,            0.038717,            0.031357,           0.0037496,             0.50707,             0.54952,             0.49629,             0.22435,            0.046218,            0.011376,           0.0090037,           0.0089308,           0.0089308,           0.0089308
                  56,            0.038733,            0.031095,           0.0037964,             0.50585,             0.55029,             0.49634,             0.22498,             0.04623,            0.011373,           0.0090197,            0.008911,            0.008911,            0.008911
                  57,            0.038631,             0.03121,           0.0038395,             0.50764,             0.55151,             0.49768,             0.22566,            0.046241,            0.011374,           0.0090058,           0.0088912,           0.0088912,           0.0088912
                  58,            0.038606,             0.03132,           0.0038186,             0.50832,             0.55351,             0.49894,              0.2258,            0.046255,            0.011374,           0.0090089,           0.0088714,           0.0088714,           0.0088714
                  59,            0.038448,            0.031214,           0.0037517,             0.50808,             0.55542,             0.49749,             0.22568,            0.046268,            0.011375,           0.0090223,           0.0088516,           0.0088516,           0.0088516
                  60,            0.038322,            0.031045,           0.0037387,             0.50837,             0.55684,             0.49878,             0.22546,            0.046282,            0.011376,           0.0090349,           0.0088318,           0.0088318,           0.0088318
                  61,            0.038322,            0.031037,           0.0037956,             0.50719,             0.55756,              0.4994,             0.22594,              0.0463,            0.011379,           0.0090463,            0.008812,            0.008812,            0.008812
                  62,            0.038295,            0.030987,           0.0037711,             0.50852,             0.55591,             0.49893,             0.22593,            0.046319,            0.011382,           0.0090594,           0.0087922,           0.0087922,           0.0087922
