               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076451,            0.041712,            0.028296,             0.41961,             0.19023,             0.11641,            0.035334,            0.060708,            0.024061,            0.016362,            0.070076,           0.0033249,           0.0033249
                   1,            0.058067,            0.035404,            0.015284,             0.31069,              0.3153,             0.23956,            0.088313,            0.051931,            0.024035,            0.013672,            0.040054,           0.0066363,           0.0066363
                   2,            0.055242,            0.035258,            0.013957,             0.31575,             0.29095,             0.20886,            0.074693,            0.054451,            0.025221,            0.014567,             0.01001,           0.0099257,           0.0099257
                   3,              0.0532,            0.035819,             0.01361,             0.29094,             0.27413,             0.19276,             0.06899,            0.056239,            0.024824,             0.01329,            0.009901,            0.009901,            0.009901
                   4,            0.049857,            0.035788,            0.012382,             0.36181,              0.3612,             0.29164,             0.10954,            0.047529,            0.023827,            0.010714,            0.009901,            0.009901,            0.009901
                   5,            0.048106,            0.034969,            0.011439,             0.36559,             0.40999,             0.32575,              0.1264,            0.046373,            0.023784,              0.0107,            0.009868,            0.009868,            0.009868
                   6,            0.046947,            0.034703,            0.010787,             0.42208,             0.40375,             0.35557,              0.1417,             0.04536,            0.023697,            0.010333,            0.009835,            0.009835,            0.009835
                   7,            0.046095,            0.034319,            0.010296,             0.42511,             0.41171,             0.36632,             0.14554,            0.044838,            0.023396,            0.010159,            0.009802,            0.009802,            0.009802
                   8,            0.045337,            0.034033,             0.01031,             0.42689,             0.42281,              0.3676,             0.15121,            0.044858,            0.023108,           0.0095651,            0.009769,            0.009769,            0.009769
                   9,             0.04483,            0.034475,           0.0098779,             0.47648,              0.4331,             0.40702,               0.171,            0.042936,            0.023046,            0.010237,            0.009736,            0.009736,            0.009736
                  10,             0.04442,            0.033667,           0.0098178,             0.44198,             0.44108,             0.40757,             0.16812,            0.043758,            0.022773,           0.0096487,            0.009703,            0.009703,            0.009703
                  11,             0.04418,            0.033365,           0.0095397,             0.45712,             0.44597,             0.40685,             0.17266,            0.043282,            0.022749,           0.0094497,             0.00967,             0.00967,             0.00967
                  12,             0.04346,            0.033954,           0.0096129,             0.47209,             0.45698,             0.42251,             0.17982,            0.041839,            0.022825,           0.0093989,            0.009637,            0.009637,            0.009637
                  13,             0.04325,            0.033075,           0.0088874,              0.4729,             0.46134,             0.43935,             0.18697,            0.041713,            0.022608,           0.0095939,            0.009604,            0.009604,            0.009604
                  14,            0.042669,            0.033723,           0.0086014,             0.45174,             0.46868,             0.43748,             0.18883,            0.041251,            0.022527,           0.0091132,            0.009571,            0.009571,            0.009571
                  15,             0.04285,            0.033306,           0.0087242,              0.4618,              0.4778,             0.44571,             0.19008,            0.041528,            0.022502,           0.0087532,            0.009538,            0.009538,            0.009538
                  16,            0.042204,            0.033334,            0.008644,             0.46304,             0.48888,             0.44187,             0.18789,            0.040933,            0.022421,           0.0088479,            0.009505,            0.009505,            0.009505
                  17,            0.042177,            0.033232,           0.0082156,             0.49866,             0.45869,             0.44646,             0.18657,            0.041926,            0.022383,           0.0088707,            0.009472,            0.009472,            0.009472
                  18,            0.041993,            0.032778,             0.00822,             0.48432,             0.48155,             0.46215,             0.20125,            0.040671,            0.022424,            0.008211,            0.009439,            0.009439,            0.009439
                  19,            0.041539,            0.033232,           0.0082059,             0.49174,             0.50323,             0.48057,             0.21322,            0.039834,            0.022167,           0.0079194,            0.009406,            0.009406,            0.009406
                  20,            0.041629,            0.032844,           0.0078926,             0.47172,             0.47735,             0.45621,             0.20121,            0.040294,            0.022269,           0.0084855,            0.009373,            0.009373,            0.009373
                  21,             0.04135,            0.033475,           0.0082333,             0.51403,              0.4872,             0.48381,             0.21392,            0.039744,            0.022028,           0.0084568,             0.00934,             0.00934,             0.00934
                  22,            0.041142,            0.032592,           0.0077951,             0.50019,             0.50663,              0.4829,             0.21436,            0.039812,            0.022077,           0.0082554,            0.009307,            0.009307,            0.009307
