               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12028,            0.031201,            0.029109,             0.25143,            0.071529,           0.0016268,          0.00034048,             0.11151,            0.027942,            0.019988,            0.070326,           0.0032971,           0.0032971
                   1,             0.10959,            0.029369,            0.020492,             0.78043,             0.03451,            0.015775,           0.0038996,             0.10311,            0.025832,            0.017971,            0.039013,           0.0053176,           0.0053176
                   2,             0.10277,            0.028132,             0.01743,             0.80264,            0.046587,            0.030818,           0.0092608,            0.098233,            0.027359,            0.016489,           0.0063804,           0.0060181,           0.0060181
                   3,             0.09669,            0.028524,            0.015476,             0.12301,             0.15076,            0.063998,            0.020003,            0.094182,            0.027443,            0.014631,             0.00406,             0.00406,             0.00406
                   4,            0.094928,            0.029067,            0.015436,             0.17961,             0.16581,            0.096006,            0.032755,             0.08934,            0.027432,            0.013119,             0.00406,             0.00406,             0.00406
