               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076073,             0.05114,            0.030962,             0.23555,             0.24806,             0.15864,            0.053678,            0.061332,            0.022662,            0.016768,             0.07005,           0.0033277,           0.0033277
                   1,            0.058972,            0.046401,            0.015746,             0.37109,             0.34929,             0.27536,            0.099792,            0.053517,            0.022285,            0.014305,            0.040037,           0.0066479,           0.0066479
                   2,            0.056156,            0.046665,            0.014237,              0.3045,             0.28049,             0.21789,            0.079253,            0.055006,             0.02312,            0.016984,            0.010011,           0.0099548,           0.0099548
                   3,            0.053665,             0.04702,            0.013429,             0.39275,             0.36505,             0.31715,             0.12289,            0.049865,            0.022262,            0.012829,           0.0099406,           0.0099406,           0.0099406
                   4,            0.050964,            0.045786,            0.012014,             0.41081,             0.39008,              0.3354,             0.13431,            0.048692,            0.021843,            0.012152,           0.0099406,           0.0099406,           0.0099406
                   5,            0.049376,            0.044935,            0.011279,             0.43967,             0.40266,             0.37328,             0.14654,            0.046739,             0.02147,            0.010291,           0.0099208,           0.0099208,           0.0099208
                   6,            0.048233,            0.044662,            0.010552,             0.40936,             0.43028,             0.36675,             0.14722,            0.046395,            0.021383,            0.010562,            0.009901,            0.009901,            0.009901
                   7,             0.04731,            0.043974,            0.009876,              0.4579,             0.44385,             0.40142,             0.16396,            0.046137,            0.021322,            0.010758,           0.0098812,           0.0098812,           0.0098812
                   8,            0.046649,            0.043508,           0.0094647,             0.44404,             0.43551,             0.39053,             0.15925,            0.046082,            0.021155,            0.010624,           0.0098614,           0.0098614,           0.0098614
                   9,            0.045944,            0.043657,           0.0091978,             0.45718,             0.45166,             0.41293,             0.17025,            0.045124,             0.02101,            0.010228,           0.0098416,           0.0098416,           0.0098416
                  10,            0.045286,            0.043316,           0.0087354,             0.46849,             0.46789,             0.42443,             0.17701,            0.044819,            0.021069,             0.01072,           0.0098218,           0.0098218,           0.0098218
                  11,            0.045005,            0.042932,           0.0087608,             0.47785,             0.47352,             0.44132,             0.18245,            0.044301,            0.020767,           0.0098569,            0.009802,            0.009802,            0.009802
                  12,            0.044581,            0.042687,           0.0082478,             0.45301,             0.48051,             0.43001,              0.1815,            0.044169,            0.020917,           0.0097876,           0.0097822,           0.0097822,           0.0097822
                  13,            0.044141,            0.042612,           0.0079354,             0.48197,             0.48092,             0.44841,             0.19061,            0.043898,             0.02086,           0.0094848,           0.0097624,           0.0097624,           0.0097624
                  14,            0.043447,            0.042209,           0.0075784,             0.45963,             0.49425,             0.44235,             0.18842,            0.043519,             0.02065,           0.0093305,           0.0097426,           0.0097426,           0.0097426
                  15,            0.043191,            0.042449,           0.0075263,             0.46988,             0.49277,             0.46013,             0.19452,            0.042958,            0.020624,            0.009208,           0.0097228,           0.0097228,           0.0097228
                  16,            0.042643,            0.041601,           0.0072827,             0.47345,             0.49795,             0.45165,             0.19257,            0.043479,            0.020616,            0.010023,            0.009703,            0.009703,            0.009703
                  17,             0.04253,            0.041283,           0.0072785,             0.50215,             0.51644,             0.47526,             0.20031,            0.043172,            0.020573,           0.0095175,           0.0096832,           0.0096832,           0.0096832
                  18,             0.04208,            0.041619,           0.0068797,             0.49604,             0.52558,             0.48129,             0.20605,            0.042599,            0.020457,           0.0093605,           0.0096634,           0.0096634,           0.0096634
                  19,            0.042051,            0.040704,           0.0069484,             0.51059,               0.512,             0.47861,             0.20071,            0.042728,            0.020503,           0.0089446,           0.0096436,           0.0096436,           0.0096436
                  20,            0.041673,            0.041139,           0.0066374,             0.49303,             0.52025,             0.48516,             0.20661,            0.042412,            0.020542,           0.0093104,           0.0096238,           0.0096238,           0.0096238
                  21,             0.04161,            0.040368,           0.0068633,             0.51902,             0.51627,              0.4856,             0.20883,            0.042084,            0.020439,           0.0091626,            0.009604,            0.009604,            0.009604
                  22,             0.04126,            0.040728,           0.0064493,             0.49574,             0.53513,             0.48579,             0.21016,            0.042228,            0.020421,           0.0088923,           0.0095842,           0.0095842,           0.0095842
                  23,            0.040765,            0.040433,           0.0063091,             0.49655,             0.53274,             0.48419,             0.21178,            0.041931,            0.020383,           0.0092839,           0.0095644,           0.0095644,           0.0095644
                  24,            0.040624,            0.039814,           0.0063095,             0.51159,             0.52621,             0.49407,              0.2168,             0.04181,            0.020377,           0.0090184,           0.0095446,           0.0095446,           0.0095446
                  25,            0.040356,            0.040161,           0.0062396,             0.51245,             0.53569,             0.49333,             0.21551,             0.04165,            0.020429,           0.0091489,           0.0095248,           0.0095248,           0.0095248
                  26,            0.040267,            0.039708,           0.0062694,             0.52181,             0.53255,             0.49808,             0.21891,            0.041514,            0.020453,           0.0091006,            0.009505,            0.009505,            0.009505
                  27,            0.039937,            0.039564,           0.0060258,             0.52205,             0.53228,             0.49894,             0.22067,            0.041562,             0.02044,           0.0088975,           0.0094852,           0.0094852,           0.0094852
                  28,            0.040003,            0.039935,           0.0057977,             0.50579,             0.54417,             0.49232,             0.21674,            0.041517,            0.020442,           0.0092993,           0.0094654,           0.0094654,           0.0094654
