               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039026,            0.031613,           0.0062079,             0.51367,             0.52769,             0.51152,             0.23051,            0.038174,            0.021582,           0.0080699,            0.008845,            0.008845,            0.008845
                  37,             0.03888,            0.031677,           0.0065323,             0.49564,             0.53479,             0.50494,             0.23035,            0.038018,            0.021719,           0.0081308,            0.008812,            0.008812,            0.008812
                  38,            0.038885,            0.031776,           0.0064395,             0.52518,             0.53396,             0.51971,             0.23621,            0.037695,            0.021556,           0.0081661,            0.008779,            0.008779,            0.008779
                  39,            0.038824,            0.032017,           0.0062456,              0.5145,             0.54437,             0.52217,             0.23794,            0.037664,            0.021492,            0.007963,            0.008746,            0.008746,            0.008746
                  40,            0.038637,            0.031704,           0.0061274,             0.49826,              0.5541,             0.51391,             0.23601,            0.037472,            0.021538,           0.0080442,            0.008713,            0.008713,            0.008713
                  41,            0.038636,            0.031457,           0.0060595,             0.52557,             0.53411,              0.5246,             0.24166,            0.037653,            0.021551,           0.0081229,             0.00868,             0.00868,             0.00868
                  42,            0.038574,            0.031236,           0.0062768,             0.51936,             0.53883,             0.52644,              0.2404,            0.037613,            0.021481,           0.0080499,            0.008647,            0.008647,            0.008647
                  43,            0.038367,            0.031825,           0.0060609,             0.52875,             0.55092,             0.53131,             0.24448,            0.037407,            0.021405,           0.0080543,            0.008614,            0.008614,            0.008614
                  44,            0.038062,            0.031403,           0.0059928,             0.52157,             0.55996,             0.53046,             0.24445,            0.037236,             0.02142,           0.0079274,            0.008581,            0.008581,            0.008581
                  45,            0.038446,            0.031193,           0.0060484,             0.52774,             0.54474,             0.53584,              0.2467,            0.037231,            0.021364,           0.0078001,            0.008548,            0.008548,            0.008548
                  46,            0.038217,            0.031443,            0.005648,             0.52606,             0.56168,             0.53477,             0.24942,            0.037214,            0.021323,           0.0078694,            0.008515,            0.008515,            0.008515
                  47,            0.038154,            0.031361,           0.0058368,             0.51828,             0.55102,             0.53242,             0.24699,            0.037276,            0.021388,            0.008097,            0.008482,            0.008482,            0.008482
                  48,            0.037786,            0.031269,           0.0058521,             0.52799,             0.55918,             0.53548,             0.24991,            0.037054,            0.021351,           0.0080294,            0.008449,            0.008449,            0.008449
                  49,            0.037964,            0.031076,           0.0057241,             0.53495,             0.54736,             0.53601,             0.24968,            0.037163,            0.021313,           0.0081234,            0.008416,            0.008416,            0.008416
                  50,            0.037834,            0.030658,           0.0056857,             0.51931,             0.56252,             0.53677,             0.24881,            0.037112,            0.021332,           0.0081015,            0.008383,            0.008383,            0.008383
                  51,            0.037633,            0.031064,           0.0055954,             0.53275,             0.54679,             0.53964,             0.24914,            0.037144,            0.021383,           0.0081721,             0.00835,             0.00835,             0.00835
                  52,            0.037608,            0.031255,           0.0054539,             0.52616,             0.55225,             0.53583,             0.24864,            0.036959,            0.021372,           0.0080298,            0.008317,            0.008317,            0.008317
                  53,            0.037713,            0.031211,            0.005451,             0.52984,             0.55767,              0.5384,             0.25078,            0.036865,            0.021334,           0.0080586,            0.008284,            0.008284,            0.008284
                  54,            0.037434,            0.030838,            0.005411,             0.52316,              0.5633,             0.53885,             0.25169,            0.036845,            0.021316,           0.0080446,            0.008251,            0.008251,            0.008251
                  55,             0.03723,            0.031136,           0.0052365,             0.52388,             0.56291,             0.54187,             0.25254,             0.03678,            0.021387,           0.0079262,            0.008218,            0.008218,            0.008218
                  56,            0.037449,            0.030571,           0.0053214,             0.53089,             0.56013,             0.54426,             0.25246,            0.036818,             0.02138,           0.0079951,            0.008185,            0.008185,            0.008185
                  57,             0.03726,            0.030856,           0.0055312,             0.52286,              0.5661,             0.54415,             0.25353,            0.036864,            0.021383,           0.0080135,            0.008152,            0.008152,            0.008152
                  58,            0.037236,            0.030857,           0.0052624,             0.52192,             0.56038,             0.54474,             0.25346,            0.036794,            0.021342,           0.0079523,            0.008119,            0.008119,            0.008119
                  59,             0.03708,            0.030318,           0.0050349,             0.52252,             0.56448,             0.54387,             0.25264,            0.036802,            0.021326,           0.0080822,            0.008086,            0.008086,            0.008086
                  60,            0.037071,            0.030907,           0.0050531,              0.5176,             0.57024,             0.54481,             0.25355,            0.036747,            0.021331,           0.0080916,            0.008053,            0.008053,            0.008053
                  61,            0.036869,            0.031084,           0.0050054,             0.51997,             0.56506,             0.54358,              0.2513,            0.036764,            0.021336,           0.0082123,             0.00802,             0.00802,             0.00802
                  62,            0.036759,            0.030941,           0.0050186,              0.5275,             0.56797,             0.54486,             0.25256,            0.036778,            0.021341,           0.0082923,            0.007987,            0.007987,            0.007987
