               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081244,            0.054157,            0.028747,             0.17792,               0.226,               0.117,            0.033082,            0.066409,            0.014722,            0.014802,            0.070062,           0.0033265,           0.0033265
                   1,             0.06315,             0.04761,            0.014317,             0.29554,             0.36331,             0.25104,            0.090044,            0.054734,            0.015008,            0.011549,            0.040048,           0.0066466,           0.0066466
                   2,            0.059121,            0.047022,             0.01231,             0.27008,              0.2869,             0.20432,            0.076092,             0.06063,            0.016155,            0.013859,            0.010022,           0.0099536,           0.0099536
                   3,            0.056721,            0.047673,            0.011349,             0.35896,             0.37438,              0.3148,             0.11881,            0.053787,            0.014337,             0.01036,           0.0099406,           0.0099406,           0.0099406
                   4,            0.053446,            0.046477,           0.0098513,              0.4228,             0.42165,             0.36208,             0.13916,            0.051313,            0.014587,            0.010701,           0.0099406,           0.0099406,           0.0099406
                   5,            0.051477,            0.045841,           0.0086665,             0.36237,             0.43526,             0.34205,             0.13516,            0.050136,            0.014086,            0.010342,           0.0099208,           0.0099208,           0.0099208
                   6,            0.050062,            0.044695,           0.0080896,             0.42013,             0.42142,              0.3666,             0.14514,            0.050285,            0.014033,            0.010042,            0.009901,            0.009901,            0.009901
                   7,            0.048763,            0.044183,           0.0074556,             0.39993,             0.43406,             0.35617,             0.14104,            0.049734,            0.013944,            0.010053,           0.0098812,           0.0098812,           0.0098812
                   8,            0.047665,            0.043705,           0.0068983,             0.40991,             0.44677,             0.38488,             0.15493,            0.049243,            0.014186,           0.0099291,           0.0098614,           0.0098614,           0.0098614
                   9,            0.046779,            0.043063,           0.0065497,             0.38945,             0.42465,             0.36021,             0.14566,            0.050165,            0.014481,            0.010409,           0.0098416,           0.0098416,           0.0098416
                  10,            0.046118,            0.042187,           0.0063891,             0.43627,             0.45043,             0.40256,             0.16199,            0.049307,            0.014106,            0.010163,           0.0098218,           0.0098218,           0.0098218
                  11,             0.04505,            0.042268,           0.0057957,             0.43521,             0.43351,             0.38517,             0.15574,            0.049809,            0.014171,           0.0099873,            0.009802,            0.009802,            0.009802
                  12,            0.044663,            0.041142,           0.0055856,             0.44274,             0.43273,             0.37734,             0.15307,            0.049671,            0.014055,           0.0093165,           0.0097822,           0.0097822,           0.0097822
